start_offset(uint64),start_time(double),start_time_offset(double),center_frequency(double),dewhitened(bool)
46309376,5.79127016604802,0.002582195680588484,918328312.5048828,True,2,0,0,14,40,139
61934336,7.7443925320850315,0.0025603300891816616,914690783.4150391,True,21,255,1,255,0,77,57,116,70,26,137,65,219,146,25,141,61,247,250,214,117,0,60,55,9,217
62309376,7.791296011280954,0.0025600409135222435,916247037.7445068,True,21,255,1,255,1,77,57,116,83,229,7,195,93,20,126,40,152,118,45,35,25,0,253,56,163,217
107808768,13.477384495953649,0.0012803426943719387,918212240.4951172,True,17,1,10,253,0,78,0,128,91,45,184,142,99,0,4,119,255,0,190,220,237
108121344,13.516437135692305,0.0012609456898644567,918209216.9533691,True,17,1,10,253,0,78,0,128,204,153,162,94,213,0,10,119,255,0,35,44,141
108433664,13.55550404695718,0.0012802451383322477,918210743.5444336,True,17,1,10,253,0,78,0,128,93,111,221,147,249,0,16,119,255,0,135,104,173
108746240,13.59456777892503,0.0012799403630197048,918213044.8730469,True,17,1,10,253,0,78,0,128,66,226,254,130,0,0,22,119,255,0,218,54,205
109371136,13.672688746819444,0.0012803060235455632,914707979.2182617,True,17,1,10,253,1,78,0,128,148,191,233,171,157,0,34,119,255,0,212,112,181
109683712,13.711752007421657,0.0012804835569113493,914712111.5898438,True,17,1,10,253,1,78,0,128,151,233,94,115,112,0,40,119,255,0,105,227,77
110308608,13.789873280557044,0.001281154458411038,918214774.3310547,True,17,2,10,253,16,78,0,128,144,140,16,225,80,0,52,119,255,0,211,250,157
110621184,13.828936517294116,0.0012803544523194432,918210898.7583008,True,17,2,10,253,16,78,0,128,57,111,157,115,255,0,58,119,255,0,237,120,109
110933760,13.867988637820437,0.001260438235476613,918213841.9941406,True,17,2,10,253,16,78,0,128,20,34,77,192,88,0,64,119,255,0,161,155,77
111246080,13.907064246529504,0.0012804351281374693,918215130.6357422,True,17,2,10,253,16,78,0,128,11,37,200,66,78,0,70,119,255,0,34,54,141
111558656,13.946120361503764,0.001280513359233737,914712413.2490234,True,17,2,10,253,17,78,0,128,147,224,115,68,103,0,76,119,255,0,154,110,189
112121088,14.016432130121798,0.0012803650461137295,914707217.7368164,True,62,1,254,253,32,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,6,240,255,0,200,237,152
112433664,14.055496183279521,0.001280381460674107,914709926.9458008,True,62,1,254,253,32,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,12,240,255,0,64,237,240
112746240,14.094548125341154,0.0012602867791429162,914707284.0461426,True,62,1,254,253,32,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,18,240,255,0,88,232,224
113371136,14.172680825865447,0.0012803850695490837,914449970.9970703,True,62,1,254,253,33,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,30,240,255,0,168,253,128
113683712,14.211731888292908,0.0012603644281625748,914449928.0009766,True,62,1,254,253,33,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,36,240,255,0,224,247,240
113996032,14.250808334959462,0.001280245603993535,914450049.934082,True,62,1,254,253,33,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,42,240,255,0,184,244,128
114308608,14.289852420794018,0.0012602946953848004,914709894.125,True,62,1,254,253,33,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,48,240,255,0,112,242,80
114621184,14.328952442439064,0.0012802795972675085,914707327.065918,True,62,1,254,253,34,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,54,240,255,0,8,205,32
114933760,14.367988522569268,0.0012603229843080044,914707007.2744141,True,62,1,254,253,34,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,60,240,255,0,128,205,152
115246080,14.407056105084889,0.0012802936835214496,914707255.019043,True,62,1,254,253,34,64,0,118,255,255,28,119,230,0,0,40,0,11,1,3,45,19,20,1,0,17,1,3,41,1,16,3,16,0,0,0,0,0,1,36,18,0,34,97,0,0,0,2,7,0,112,36,53,4,97,0,154,216,0,66,240,255,0,152,217,48
